Task_ID,Operator_ID,Machine_ID,Task_Type,Weather,Site_Terrain,Operator_Skill,Machine_Age,Estimated_Time,Actual_Time
T0027,OP07,M01,Trenching,Clear,Flat,Intermediate,3.2,75,89
T0028,OP07,M01,Trenching,Clear,Flat,Intermediate,3.2,75,82
T0029,OP07,M01,Loading,Clear,Sloped,Intermediate,3.2,35,40
T0030,OP07,M01,Trenching,Clear,Muddy,Intermediate,3.2,65,79
T0031,OP07,M01,Excavation,Clear,Flat,Intermediate,3.2,60,64
T0032,OP07,M01,Excavation,Clear,Flat,Intermediate,3.2,65,73
T0033,OP08,M02,Loading,Clear,Flat,Beginner,5.5,40,48
T0034,OP08,M02,Loading,Clear,Muddy,Beginner,5.5,25,33
T0035,OP08,M02,Loading,Clear,Flat,Beginner,5.5,25,31
T0036,OP08,M02,Hauling,Clear,Muddy,Beginner,5.5,55,73
T0037,OP09,M03,Excavation,Clear,Flat,Intermediate,8.1,60,73
T0038,OP09,M03,Excavation,Clear,Flat,Intermediate,8.1,65,73
T0039,OP09,M03,Loading,Clear,Rocky,Intermediate,8.1,45,55
T0040,OP09,M03,Trenching,Clear,Muddy,Intermediate,8.1,50,68
T0041,OP09,M03,Loading,Clear,Rocky,Intermediate,8.1,45,54
T0042,OP10,M04,Excavation,Clear,Rocky,Expert,4.0,80,94
T0043,OP10,M04,Grading,Clear,Flat,Expert,4.0,45,44
T0044,OP10,M04,Grading,Clear,Rocky,Expert,4.0,40,42
T0045,OP10,M04,Excavation,Clear,Flat,Expert,4.0,80,84
T0046,OP10,M04,Grading,Clear,Flat,Expert,4.0,40,38
T0047,OP10,M04,Grading,Clear,Muddy,Expert,4.0,45,48
T0048,OP11,M05,Hauling,Clear,Flat,Beginner,6.7,50,62
T0049,OP11,M05,Hauling,Clear,Flat,Beginner,6.7,55,72
T0050,OP11,M05,Hauling,Clear,Muddy,Beginner,6.7,40,51
T0051,OP11,M05,Hauling,Clear,Sloped,Beginner,6.7,40,50
T0052,OP11,M05,Hauling,Clear,Rocky,Beginner,6.7,45,57
T0053,OP12,M06,Grading,Clear,Flat,Expert,2.4,50,49
T0054,OP12,M06,Grading,Clear,Muddy,Expert,2.4,60,67
T0055,OP12,M06,Grading,Clear,Sloped,Expert,2.4,70,76
T0056,OP01,M01,Loading,Cloudy,Sloped,Beginner,3.2,50,61
T0057,OP01,M01,Excavation,Cloudy,Muddy,Beginner,3.2,85,113
T0058,OP01,M01,Loading,Cloudy,Rocky,Beginner,3.2,45,58
T0059,OP01,M01,Trenching,Cloudy,Muddy,Beginner,3.2,50,68
T0060,OP01,M01,Loading,Cloudy,Rocky,Beginner,3.2,25,31
T0061,OP01,M01,Trenching,Cloudy,Flat,Beginner,3.2,75,87
T0062,OP02,M02,Hauling,Cloudy,Flat,Intermediate,5.5,35,41
T0063,OP02,M02,Hauling,Cloudy,Rocky,Intermediate,5.5,50,59
T0064,OP02,M02,Hauling,Cloudy,Flat,Intermediate,5.5,35,39
T0065,OP03,M03,Excavation,Cloudy,Flat,Intermediate,8.1,90,104
T0066,OP03,M03,Loading,Cloudy,Flat,Intermediate,8.1,35,38
T0067,OP03,M03,Trenching,Cloudy,Flat,Intermediate,8.1,45,52
T0068,OP04,M04,Grading,Cloudy,Rocky,Expert,4.0,70,76
T0069,OP04,M04,Excavation,Cloudy,Flat,Expert,4.0,85,89
T0070,OP04,M04,Grading,Cloudy,Rocky,Expert,4.0,65,75
T0071,OP04,M04,Grading,Cloudy,Flat,Expert,4.0,45,45
T0072,OP04,M04,Grading,Cloudy,Muddy,Expert,4.0,40,47
T0073,OP04,M04,Grading,Cloudy,Muddy,Expert,4.0,55,59
T0074,OP05,M05,Hauling,Cloudy,Flat,Expert,6.7,35,36
T0075,OP05,M05,Hauling,Cloudy,Muddy,Expert,6.7,40,48
T0076,OP05,M05,Hauling,Cloudy,Rocky,Expert,6.7,55,58
T0077,OP05,M05,Hauling,Cloudy,Flat,Expert,6.7,45,49
T0078,OP06,M06,Grading,Cloudy,Flat,Beginner,2.4,60,70
T0079,OP06,M06,Grading,Cloudy,Muddy,Beginner,2.4,55,76
T0080,OP06,M06,Grading,Cloudy,Flat,Beginner,2.4,55,64
T0081,OP06,M06,Grading,Cloudy,Sloped,Beginner,2.4,55,65
T0082,OP07,M01,Excavation,Clear,Flat,Intermediate,3.2,90,101
T0083,OP07,M01,Loading,Clear,Flat,Intermediate,3.2,35,39
T0084,OP07,M01,Excavation,Clear,Flat,Intermediate,3.2,50,54
T0085,OP07,M01,Loading,Clear,Muddy,Intermediate,3.2,40,47
T0086,OP07,M01,Excavation,Clear,Flat,Intermediate,3.2,70,70
T0087,OP08,M02,Loading,Clear,Flat,Beginner,5.5,40,48
T0088,OP08,M02,Hauling,Clear,Flat,Beginner,5.5,45,59
T0089,OP08,M02,Loading,Clear,Flat,Beginner,5.5,35,44
T0090,OP08,M02,Loading,Clear,Rocky,Beginner,5.5,45,58
T0091,OP08,M02,Loading,Clear,Flat,Beginner,5.5,25,31
T0092,OP08,M02,Loading,Clear,Muddy,Beginner,5.5,40,52
T0093,OP08,M02,Hauling,Clear,Rocky,Beginner,5.5,50,60
T0094,OP08,M02,Hauling,Clear,Sloped,Beginner,5.5,35,45
T0095,OP09,M03,Loading,Clear,Flat,Intermediate,8.1,35,40
T0096,OP09,M03,Trenching,Clear,Rocky,Intermediate,8.1,85,101
T0097,OP09,M03,Excavation,Clear,Flat,Intermediate,8.1,45,51
T0098,OP10,M04,Grading,Clear,Rocky,Expert,4.0,65,68
T0099,OP10,M04,Grading,Clear,Muddy,Expert,4.0,50,58
T0100,OP10,M04,Excavation,Clear,Muddy,Expert,4.0,65,73
T0101,OP10,M04,Grading,Clear,Flat,Expert,4.0,75,76
T0102,OP10,M04,Excavation,Clear,Rocky,Expert,4.0,80,81
T0103,OP11,M05,Hauling,Clear,Flat,Beginner,6.7,60,72
T0104,OP11,M05,Hauling,Clear,Rocky,Beginner,6.7,40,52
T0105,OP11,M05,Hauling,Clear,Flat,Beginner,6.7,35,40
T0106,OP11,M05,Hauling,Clear,Flat,Beginner,6.7,50,58
T0107,OP12,M06,Grading,Clear,Rocky,Expert,2.4,75,81
T0108,OP12,M06,Grading,Clear,Rocky,Expert,2.4,75,82
T0109,OP12,M06,Grading,Clear,Sloped,Expert,2.4,65,59
T0110,OP01,M01,Trenching,Windy,Sloped,Beginner,3.2,60,77
T0111,OP01,M01,Loading,Windy,Rocky,Beginner,3.2,35,48
T0112,OP01,M01,Trenching,Windy,Flat,Beginner,3.2,55,68
T0113,OP01,M01,Excavation,Windy,Muddy,Beginner,3.2,50,72
T0114,OP02,M02,Hauling,Windy,Flat,Intermediate,5.5,45,49
T0115,OP02,M02,Loading,Windy,Flat,Intermediate,5.5,25,30
T0116,OP02,M02,Hauling,Windy,Rocky,Intermediate,5.5,50,63
T0117,OP02,M02,Loading,Windy,Flat,Intermediate,5.5,40,51
T0118,OP02,M02,Loading,Windy,Rocky,Intermediate,5.5,30,37
T0119,OP03,M03,Loading,Windy,Muddy,Intermediate,8.1,40,55
T0120,OP03,M03,Loading,Windy,Sloped,Intermediate,8.1,50,68
T0121,OP03,M03,Trenching,Windy,Rocky,Intermediate,8.1,60,82
T0122,OP03,M03,Loading,Windy,Rocky,Intermediate,8.1,45,53
T0123,OP04,M04,Excavation,Windy,Flat,Expert,4.0,85,95
T0124,OP04,M04,Grading,Windy,Rocky,Expert,4.0,65,71
T0125,OP04,M04,Grading,Windy,Rocky,Expert,4.0,60,69
T0126,OP04,M04,Excavation,Windy,Rocky,Expert,4.0,60,68
T0127,OP05,M05,Hauling,Windy,Flat,Expert,6.7,55,59
T0128,OP05,M05,Hauling,Windy,Flat,Expert,6.7,45,52
T0129,OP05,M05,Hauling,Windy,Flat,Expert,6.7,45,49
T0130,OP05,M05,Hauling,Windy,Rocky,Expert,6.7,60,75
T0131,OP05,M05,Hauling,Windy,Flat,Expert,6.7,45,52
T0132,OP06,M06,Grading,Windy,Rocky,Beginner,2.4,55,74
T0133,OP06,M06,Grading,Windy,Flat,Beginner,2.4,45,58
T0134,OP06,M06,Grading,Windy,Muddy,Beginner,2.4,40,55
T0135,OP06,M06,Grading,Windy,Sloped,Beginner,2.4,55,74
T0136,OP06,M06,Grading,Windy,Flat,Beginner,2.4,55,65
T0137,OP07,M01,Trenching,Cloudy,Muddy,Intermediate,3.2,85,99
T0138,OP07,M01,Trenching,Cloudy,Muddy,Intermediate,3.2,60,72
T0139,OP07,M01,Trenching,Cloudy,Flat,Intermediate,3.2,60,67
T0140,OP07,M01,Excavation,Cloudy,Flat,Intermediate,3.2,70,74
T0141,OP07,M01,Excavation,Cloudy,Rocky,Intermediate,3.2,60,70
T0142,OP08,M02,Loading,Cloudy,Rocky,Beginner,5.5,45,62
T0143,OP08,M02,Loading,Cloudy,Flat,Beginner,5.5,25,31
T0144,OP08,M02,Hauling,Cloudy,Sloped,Beginner,5.5,55,69
T0145,OP08,M02,Hauling,Cloudy,Flat,Beginner,5.5,40,47
T0146,OP08,M02,Hauling,Cloudy,Sloped,Beginner,5.5,55,70
T0147,OP08,M02,Hauling,Cloudy,Flat,Beginner,5.5,55,69
T0148,OP09,M03,Trenching,Cloudy,Flat,Intermediate,8.1,70,82
T0149,OP09,M03,Trenching,Cloudy,Flat,Intermediate,8.1,65,75
T0150,OP09,M03,Trenching,Cloudy,Rocky,Intermediate,8.1,55,73
T0151,OP09,M03,Trenching,Cloudy,Flat,Intermediate,8.1,55,62
T0152,OP10,M04,Grading,Cloudy,Flat,Expert,4.0,75,75
T0153,OP10,M04,Excavation,Cloudy,Sloped,Expert,4.0,50,52
T0154,OP10,M04,Grading,Cloudy,Flat,Expert,4.0,55,57
T0155,OP10,M04,Excavation,Cloudy,Sloped,Expert,4.0,50,53
T0156,OP11,M05,Hauling,Cloudy,Rocky,Beginner,6.7,35,48
T0157,OP11,M05,Hauling,Cloudy,Flat,Beginner,6.7,60,79
T0158,OP11,M05,Hauling,Cloudy,Rocky,Beginner,6.7,35,41
T0159,OP11,M05,Hauling,Cloudy,Sloped,Beginner,6.7,50,64
T0160,OP12,M06,Grading,Cloudy,Sloped,Expert,2.4,65,66
T0161,OP12,M06,Grading,Cloudy,Flat,Expert,2.4,40,39
T0162,OP12,M06,Grading,Cloudy,Flat,Expert,2.4,70,64
T0163,OP12,M06,Grading,Cloudy,Rocky,Expert,2.4,40,45
T0164,OP12,M06,Grading,Cloudy,Sloped,Expert,2.4,50,52
T0165,OP01,M01,Loading,Rainy,Rocky,Beginner,3.2,30,49
T0166,OP01,M01,Trenching,Rainy,Rocky,Beginner,3.2,75,127
T0167,OP01,M01,Trenching,Rainy,Rocky,Beginner,3.2,70,119
T0168,OP02,M02,Loading,Rainy,Flat,Intermediate,5.5,25,30
T0169,OP02,M02,Hauling,Rainy,Flat,Intermediate,5.5,50,64
T0170,OP02,M02,Loading,Rainy,Muddy,Intermediate,5.5,40,53
T0171,OP02,M02,Hauling,Rainy,Flat,Intermediate,5.5,60,78
T0172,OP03,M03,Excavation,Rainy,Rocky,Intermediate,8.1,85,111
T0173,OP03,M03,Trenching,Rainy,Muddy,Intermediate,8.1,55,72
T0174,OP03,M03,Trenching,Rainy,Rocky,Intermediate,8.1,85,117
T0175,OP04,M04,Grading,Rainy,Rocky,Expert,4.0,65,80
T0176,OP04,M04,Grading,Rainy,Rocky,Expert,4.0,65,81
T0177,OP04,M04,Grading,Rainy,Muddy,Expert,4.0,40,49
T0178,OP04,M04,Excavation,Rainy,Muddy,Expert,4.0,55,73
T0179,OP05,M05,Hauling,Rainy,Flat,Expert,6.7,45,52
T0180,OP05,M05,Hauling,Rainy,Sloped,Expert,6.7,45,55
T0181,OP05,M05,Hauling,Rainy,Muddy,Expert,6.7,40,52
T0182,OP05,M05,Hauling,Rainy,Muddy,Expert,6.7,50,67
T0183,OP05,M05,Hauling,Rainy,Muddy,Expert,6.7,50,68
T0184,OP05,M05,Hauling,Rainy,Muddy,Expert,6.7,50,63
T0185,OP05,M05,Hauling,Rainy,Muddy,Expert,6.7,55,65
T0186,OP05,M05,Hauling,Rainy,Flat,Expert,6.7,55,63
T0187,OP06,M06,Grading,Rainy,Rocky,Beginner,2.4,75,120
T0188,OP06,M06,Grading,Rainy,Muddy,Beginner,2.4,65,109
T0189,OP06,M06,Grading,Rainy,Flat,Beginner,2.4,40,61
T0190,OP06,M06,Grading,Rainy,Muddy,Beginner,2.4,70,118
T0191,OP06,M06,Grading,Rainy,Muddy,Beginner,2.4,70,114
T0192,OP07,M01,Loading,Clear,Rocky,Intermediate,3.2,40,46
T0193,OP07,M01,Loading,Clear,Rocky,Intermediate,3.2,30,35
T0194,OP07,M01,Trenching,Clear,Muddy,Intermediate,3.2,70,83
T0195,OP07,M01,Excavation,Clear,Rocky,Intermediate,3.2,55,58
T0196,OP08,M02,Loading,Clear,Sloped,Beginner,5.5,40,51
T0197,OP08,M02,Hauling,Clear,Flat,Beginner,5.5,50,62
T0198,OP08,M02,Loading,Clear,Flat,Beginner,5.5,30,38
T0199,OP08,M02,Loading,Clear,Flat,Beginner,5.5,40,49
T0200,OP08,M02,Hauling,Clear,Muddy,Beginner,5.5,30,41
T0201,OP09,M03,Excavation,Clear,Rocky,Intermediate,8.1,80,103
T0202,OP09,M03,Trenching,Clear,Sloped,Intermediate,8.1,85,101
T0203,OP09,M03,Trenching,Clear,Flat,Intermediate,8.1,70,78
T0204,OP09,M03,Trenching,Clear,Sloped,Intermediate,8.1,80,95
T0205,OP09,M03,Trenching,Clear,Flat,Intermediate,8.1,50,53
T0206,OP10,M04,Grading,Clear,Flat,Expert,4.0,65,64
T0207,OP10,M04,Excavation,Clear,Rocky,Expert,4.0,75,78
T0208,OP10,M04,Grading,Clear,Muddy,Expert,4.0,60,68
T0209,OP10,M04,Grading,Clear,Sloped,Expert,4.0,45,49
T0210,OP11,M05,Hauling,Clear,Flat,Beginner,6.7,35,41
T0211,OP11,M05,Hauling,Clear,Flat,Beginner,6.7,50,60
T0212,OP11,M05,Hauling,Clear,Rocky,Beginner,6.7,35,44
T0213,OP11,M05,Hauling,Clear,Rocky,Beginner,6.7,50,64
T0214,OP12,M06,Grading,Clear,Flat,Expert,2.4,70,62
T0215,OP12,M06,Grading,Clear,Flat,Expert,2.4,75,79
T0216,OP12,M06,Grading,Clear,Rocky,Expert,2.4,60,64
T0217,OP12,M06,Grading,Clear,Muddy,Expert,2.4,60,64
T0218,OP12,M06,Grading,Clear,Flat,Expert,2.4,65,60
T0219,OP01,M01,Excavation,Clear,Flat,Beginner,3.2,70,80
T0220,OP01,M01,Trenching,Clear,Flat,Beginner,3.2,45,53
T0221,OP01,M01,Trenching,Clear,Rocky,Beginner,3.2,75,93
T0222,OP02,M02,Loading,Clear,Muddy,Intermediate,5.5,35,41
T0223,OP02,M02,Hauling,Clear,Rocky,Intermediate,5.5,55,73
T0224,OP02,M02,Loading,Clear,Muddy,Intermediate,5.5,25,32
T0225,OP02,M02,Loading,Clear,Sloped,Intermediate,5.5,30,35
T0226,OP02,M02,Hauling,Clear,Flat,Intermediate,5.5,55,62
T0227,OP03,M03,Excavation,Clear,Rocky,Intermediate,8.1,55,69
T0228,OP03,M03,Trenching,Clear,Rocky,Intermediate,8.1,65,82
T0229,OP03,M03,Loading,Clear,Flat,Intermediate,8.1,50,56
T0230,OP03,M03,Excavation,Clear,Sloped,Intermediate,8.1,60,74
T0231,OP03,M03,Trenching,Clear,Rocky,Intermediate,8.1,45,53
T0232,OP04,M04,Grading,Clear,Rocky,Expert,4.0,65,68
T0233,OP04,M04,Excavation,Clear,Sloped,Expert,4.0,80,78
T0234,OP04,M04,Excavation,Clear,Flat,Expert,4.0,90,91
T0235,OP04,M04,Excavation,Clear,Sloped,Expert,4.0,60,62
T0236,OP04,M04,Grading,Clear,Rocky,Expert,4.0,70,77
T0237,OP05,M05,Hauling,Clear,Flat,Expert,6.7,60,63
T0238,OP05,M05,Hauling,Clear,Rocky,Expert,6.7,45,49
T0239,OP05,M05,Hauling,Clear,Rocky,Expert,6.7,60,63
T0240,OP05,M05,Hauling,Clear,Muddy,Expert,6.7,60,65
T0241,OP05,M05,Hauling,Clear,Flat,Expert,6.7,60,60
T0242,OP05,M05,Hauling,Clear,Muddy,Expert,6.7,40,43
T0243,OP05,M05,Hauling,Clear,Muddy,Expert,6.7,60,70
T0244,OP05,M05,Hauling,Clear,Flat,Expert,6.7,60,58
T0245,OP06,M06,Grading,Clear,Flat,Beginner,2.4,60,74
T0246,OP06,M06,Grading,Clear,Rocky,Beginner,2.4,60,74
T0247,OP06,M06,Grading,Clear,Flat,Beginner,2.4,45,53
T0248,OP06,M06,Grading,Clear,Sloped,Beginner,2.4,40,49
T0249,OP06,M06,Grading,Clear,Flat,Beginner,2.4,65,78
T0250,OP06,M06,Grading,Clear,Flat,Beginner,2.4,55,63
T0251,OP07,M01,Trenching,Cloudy,Flat,Intermediate,3.2,85,93
T0252,OP07,M01,Excavation,Cloudy,Flat,Intermediate,3.2,80,86
T0253,OP07,M01,Trenching,Cloudy,Rocky,Intermediate,3.2,60,67
T0254,OP07,M01,Loading,Cloudy,Flat,Intermediate,3.2,35,39
T0255,OP08,M02,Loading,Cloudy,Flat,Beginner,5.5,50,59
T0256,OP08,M02,Hauling,Cloudy,Rocky,Beginner,5.5,55,77
T0257,OP08,M02,Hauling,Cloudy,Rocky,Beginner,5.5,40,52
T0258,OP09,M03,Loading,Cloudy,Flat,Intermediate,8.1,40,45
T0259,OP09,M03,Excavation,Cloudy,Rocky,Intermediate,8.1,70,87
T0260,OP09,M03,Trenching,Cloudy,Rocky,Intermediate,8.1,75,94
T0261,OP09,M03,Trenching,Cloudy,Sloped,Intermediate,8.1,50,59
T0262,OP09,M03,Loading,Cloudy,Flat,Intermediate,8.1,25,27
T0263,OP10,M04,Excavation,Cloudy,Rocky,Expert,4.0,55,60
T0264,OP10,M04,Grading,Cloudy,Muddy,Expert,4.0,50,55
T0265,OP10,M04,Excavation,Cloudy,Flat,Expert,4.0,75,79
T0266,OP10,M04,Excavation,Cloudy,Muddy,Expert,4.0,80,89
T0267,OP10,M04,Grading,Cloudy,Flat,Expert,4.0,65,64
T0268,OP10,M04,Grading,Cloudy,Flat,Expert,4.0,60,59
T0269,OP11,M05,Hauling,Cloudy,Rocky,Beginner,6.7,40,53
T0270,OP11,M05,Hauling,Cloudy,Sloped,Beginner,6.7,40,49
T0271,OP11,M05,Hauling,Cloudy,Flat,Beginner,6.7,40,46
T0272,OP11,M05,Hauling,Cloudy,Flat,Beginner,6.7,35,44
T0273,OP11,M05,Hauling,Cloudy,Rocky,Beginner,6.7,55,76
T0274,OP11,M05,Hauling,Cloudy,Sloped,Beginner,6.7,55,67
T0275,OP11,M05,Hauling,Cloudy,Muddy,Beginner,6.7,40,54
T0276,OP12,M06,Grading,Cloudy,Sloped,Expert,2.4,45,49
T0277,OP12,M06,Grading,Cloudy,Flat,Expert,2.4,75,81
T0278,OP12,M06,Grading,Cloudy,Rocky,Expert,2.4,55,59
T0279,OP12,M06,Grading,Cloudy,Sloped,Expert,2.4,60,68
T0280,OP12,M06,Grading,Cloudy,Muddy,Expert,2.4,45,53
T0281,OP12,M06,Grading,Cloudy,Sloped,Expert,2.4,40,40
T0282,OP01,M01,Trenching,Clear,Sloped,Beginner,3.2,50,64
T0283,OP01,M01,Trenching,Clear,Flat,Beginner,3.2,65,75
T0284,OP01,M01,Excavation,Clear,Flat,Beginner,3.2,55,68
T0285,OP02,M02,Loading,Clear,Flat,Intermediate,5.5,25,29
T0286,OP02,M02,Loading,Clear,Rocky,Intermediate,5.5,30,36
T0287,OP02,M02,Hauling,Clear,Sloped,Intermediate,5.5,35,42
T0288,OP02,M02,Loading,Clear,Muddy,Intermediate,5.5,45,54
T0289,OP02,M02,Loading,Clear,Muddy,Intermediate,5.5,30,34
T0290,OP03,M03,Trenching,Clear,Sloped,Intermediate,8.1,55,70
T0291,OP03,M03,Excavation,Clear,Rocky,Intermediate,8.1,60,75
T0292,OP03,M03,Trenching,Clear,Muddy,Intermediate,8.1,45,56
T0293,OP03,M03,Loading,Clear,Rocky,Intermediate,8.1,25,30
T0294,OP03,M03,Trenching,Clear,Sloped,Intermediate,8.1,75,93
T0295,OP03,M03,Trenching,Clear,Flat,Intermediate,8.1,50,52
T0296,OP04,M04,Grading,Clear,Muddy,Expert,4.0,70,80
T0297,OP04,M04,Excavation,Clear,Flat,Expert,4.0,75,74
T0298,OP04,M04,Grading,Clear,Flat,Expert,4.0,60,60
T0299,OP04,M04,Grading,Clear,Sloped,Expert,4.0,45,49
T0300,OP04,M04,Grading,Clear,Flat,Expert,4.0,75,76
T0301,OP05,M05,Hauling,Clear,Rocky,Expert,6.7,35,37
T0302,OP05,M05,Hauling,Clear,Flat,Expert,6.7,60,63
T0303,OP05,M05,Hauling,Clear,Flat,Expert,6.7,55,54
T0304,OP05,M05,Hauling,Clear,Flat,Expert,6.7,55,53
T0305,OP05,M05,Hauling,Clear,Flat,Expert,6.7,55,51
T0306,OP06,M06,Grading,Clear,Flat,Beginner,2.4,75,85
T0307,OP06,M06,Grading,Clear,Muddy,Beginner,2.4,55,66
T0308,OP06,M06,Grading,Clear,Rocky,Beginner,2.4,50,69
T0309,OP06,M06,Grading,Clear,Flat,Beginner,2.4,75,88
T0310,OP07,M01,Excavation,Rainy,Muddy,Intermediate,3.2,55,73
T0311,OP07,M01,Loading,Rainy,Flat,Intermediate,3.2,35,43
T0312,OP07,M01,Loading,Rainy,Muddy,Intermediate,3.2,45,59
T0313,OP07,M01,Loading,Rainy,Rocky,Intermediate,3.2,50,67
T0314,OP07,M01,Excavation,Rainy,Sloped,Intermediate,3.2,85,106
T0315,OP08,M02,Loading,Rainy,Rocky,Beginner,5.5,35,59
T0316,OP08,M02,Loading,Rainy,Muddy,Beginner,5.5,30,51
T0317,OP08,M02,Loading,Rainy,Muddy,Beginner,5.5,40,71
T0318,OP08,M02,Hauling,Rainy,Rocky,Beginner,5.5,35,59
T0319,OP09,M03,Trenching,Rainy,Rocky,Intermediate,8.1,65,88
T0320,OP09,M03,Loading,Rainy,Sloped,Intermediate,8.1,25,34
T0321,OP09,M03,Trenching,Rainy,Rocky,Intermediate,8.1,50,69
T0322,OP10,M04,Excavation,Rainy,Rocky,Expert,4.0,50,61
T0323,OP10,M04,Grading,Rainy,Sloped,Expert,4.0,60,72
T0324,OP10,M04,Excavation,Rainy,Flat,Expert,4.0,90,107
T0325,OP10,M04,Excavation,Rainy,Muddy,Expert,4.0,70,89
T0326,OP10,M04,Excavation,Rainy,Muddy,Expert,4.0,75,89
T0327,OP10,M04,Grading,Rainy,Muddy,Expert,4.0,75,97
T0328,OP11,M05,Hauling,Rainy,Muddy,Beginner,6.7,45,75
T0329,OP11,M05,Hauling,Rainy,Flat,Beginner,6.7,45,80
T0330,OP11,M05,Hauling,Rainy,Sloped,Beginner,6.7,45,75
T0331,OP11,M05,Hauling,Rainy,Muddy,Beginner,6.7,60,104
T0332,OP11,M05,Hauling,Rainy,Rocky,Beginner,6.7,35,59
T0333,OP11,M05,Hauling,Rainy,Rocky,Beginner,6.7,55,93
T0334,OP11,M05,Hauling,Rainy,Muddy,Beginner,6.7,35,62
T0335,OP12,M06,Grading,Rainy,Rocky,Expert,2.4,45,55
T0336,OP12,M06,Grading,Rainy,Muddy,Expert,2.4,65,82
T0337,OP12,M06,Grading,Rainy,Muddy,Expert,2.4,65,78
T0338,OP12,M06,Grading,Rainy,Muddy,Expert,2.4,70,87
T0339,OP12,M06,Grading,Rainy,Sloped,Expert,2.4,45,49
T0340,OP12,M06,Grading,Rainy,Muddy,Expert,2.4,75,90
T0341,OP01,M01,Trenching,Cloudy,Flat,Beginner,3.2,80,89
T0342,OP01,M01,Trenching,Cloudy,Flat,Beginner,3.2,55,72
T0343,OP01,M01,Excavation,Cloudy,Rocky,Beginner,3.2,90,118
T0344,OP01,M01,Excavation,Cloudy,Flat,Beginner,3.2,55,64
T0345,OP02,M02,Loading,Cloudy,Flat,Intermediate,5.5,25,29
T0346,OP02,M02,Hauling,Cloudy,Flat,Intermediate,5.5,35,38
T0347,OP02,M02,Hauling,Cloudy,Rocky,Intermediate,5.5,40,49
T0348,OP03,M03,Loading,Cloudy,Flat,Intermediate,8.1,45,49
T0349,OP03,M03,Excavation,Cloudy,Rocky,Intermediate,8.1,85,106
T0350,OP03,M03,Loading,Cloudy,Rocky,Intermediate,8.1,35,44
T0351,OP03,M03,Loading,Cloudy,Flat,Intermediate,8.1,35,44
T0352,OP04,M04,Excavation,Cloudy,Flat,Expert,4.0,50,54
T0353,OP04,M04,Excavation,Cloudy,Rocky,Expert,4.0,50,56
T0354,OP04,M04,Excavation,Cloudy,Sloped,Expert,4.0,50,53
T0355,OP04,M04,Excavation,Cloudy,Sloped,Expert,4.0,55,60
T0356,OP04,M04,Excavation,Cloudy,Flat,Expert,4.0,60,60
T0357,OP04,M04,Excavation,Cloudy,Rocky,Expert,4.0,55,59
T0358,OP05,M05,Hauling,Cloudy,Rocky,Expert,6.7,40,39
T0359,OP05,M05,Hauling,Cloudy,Sloped,Expert,6.7,35,37
T0360,OP05,M05,Hauling,Cloudy,Flat,Expert,6.7,60,64
T0361,OP05,M05,Hauling,Cloudy,Rocky,Expert,6.7,55,63
T0362,OP05,M05,Hauling,Cloudy,Rocky,Expert,6.7,45,53
T0363,OP06,M06,Grading,Cloudy,Flat,Beginner,2.4,50,58
T0364,OP06,M06,Grading,Cloudy,Rocky,Beginner,2.4,40,49
T0365,OP06,M06,Grading,Cloudy,Rocky,Beginner,2.4,65,83
